2004---1---美国---美洲---12.22万亿 (12,217,196,000,000)---27.6713%
2004---2---日本---亚洲---4.89万亿 (4,893,116,005,656)---11.0827%
2004---3---德国---欧洲---2.85万亿 (2,852,317,768,061)---6.4604%
2004---4---英国---欧洲---2.42万亿 (2,421,525,082,387)---5.4846%
2004---5---法国---欧洲---2.11万亿 (2,109,792,297,237)---4.7786%
2004---6---中国---亚洲---1.96万亿 (1,955,346,768,721)---4.4288%
2004---7---意大利---欧洲---1.81万亿 (1,812,808,753,294)---4.1059%
2004---8---西班牙---欧洲---1.07万亿 (1,069,829,382,514)---2.4231%
2004---9---加拿大---美洲---1.03万亿 (1,026,690,238,278)---2.3254%
2004---10---墨西哥---美洲---8194.59亿 (819,459,227,375)---1.8560%
2004---11---韩国---亚洲---7931.76亿 (793,175,561,887)---1.7965%
2004---12---印度---亚洲---7091.53亿 (709,152,728,830)---1.6062%
2004---13---巴西---美洲---6692.89亿 (669,289,424,806)---1.5159%
2004---14---荷兰---欧洲---6612.25亿 (661,224,886,143)---1.4976%
2004---15---澳大利亚---大洋洲---6146.60亿 (614,659,980,082)---1.3922%
2004---16---俄罗斯---欧洲---5910.17亿 (591,016,690,732)---1.3386%
2004---17---土耳其---欧洲---4088.65亿 (408,865,430,220)---0.9261%
2004---18---瑞士---欧洲---4039.13亿 (403,912,891,033)---0.9148%
2004---19---瑞典---欧洲---3845.47亿 (384,547,211,147)---0.8710%
2004---20---比利时---欧洲---3692.15亿 (369,214,712,443)---0.8363%
2004---21---奥地利---欧洲---2992.10亿 (299,210,411,454)---0.6777%
2004---22---挪威---欧洲---2652.69亿 (265,268,662,473)---0.6008%
2004---23---沙特阿拉伯---亚洲---2587.42亿 (258,742,133,333)---0.5860%
2004---24---印尼---亚洲---2568.37亿 (256,836,875,295)---0.5817%
2004---25---波兰---欧洲---2562.69亿 (256,268,656,145)---0.5804%
2004---26---南非---非洲---2558.07亿 (255,806,908,594)---0.5794%
2004---27---丹麦---欧洲---2519.86亿 (251,986,155,630)---0.5707%
2004---28---希腊---欧洲---2349.80亿 (234,979,615,898)---0.5322%
2004---29---芬兰---欧洲---1974.58亿 (197,458,297,639)---0.4472%
2004---30---爱尔兰---欧洲---1943.72亿 (194,372,115,041)---0.4402%
2004---31---葡萄牙---欧洲---1893.82亿 (189,382,122,532)---0.4289%
2004---32---伊朗---亚洲---1877.55亿 (187,754,571,246)---0.4253%
2004---33---泰国---亚洲---1728.96亿 (172,895,685,154)---0.3916%
2004---34---香港---亚洲---1691.00亿 (169,099,768,875)---0.3830%
2004---35---阿根廷---美洲---1646.58亿 (164,657,930,452)---0.3729%
2004---36---阿联酋---亚洲---1478.24亿 (147,824,370,319)---0.3348%
2004---37---以色列---亚洲---1398.99亿 (139,899,274,431)---0.3169%
2004---38---尼日利亚---非洲---1357.65亿 (135,764,731,645)---0.3075%
2004---39---巴基斯坦---亚洲---1322.16亿 (132,216,048,339)---0.2995%
2004---40---马来西亚---亚洲---1247.49亿 (124,749,473,684)---0.2826%
2004---41---捷克---欧洲---1201.48亿 (120,147,899,983)---0.2721%
2004---42---哥伦比亚---美洲---1170.92亿 (117,092,416,666)---0.2652%
2004---43---新加坡---亚洲---1150.34亿 (115,033,593,101)---0.2605%
