2023---1---美国---美洲---27.72万亿 (27,720,709,000,000)---26.1093%
2023---2---中国---亚洲---17.79万亿 (17,794,783,039,552)---16.7604%
2023---3---德国---欧洲---4.53万亿 (4,525,703,903,627)---4.2626%
2023---4---日本---亚洲---4.20万亿 (4,204,494,802,431)---3.9601%
2023---5---印度---亚洲---3.57万亿 (3,567,551,674,623)---3.3602%
2023---6---英国---欧洲---3.38万亿 (3,380,854,520,809)---3.1843%
2023---7---法国---欧洲---3.05万亿 (3,051,831,611,384)---2.8744%
2023---8---意大利---欧洲---2.30万亿 (2,300,941,152,991)---2.1672%
2023---9---巴西---美洲---2.17万亿 (2,173,665,655,937)---2.0473%
2023---10---加拿大---美洲---2.14万亿 (2,142,470,914,401)---2.0179%
2023---11---俄罗斯---欧洲---2.02万亿 (2,021,421,476,035)---1.9039%
2023---12---墨西哥---美洲---1.79万亿 (1,789,114,434,843)---1.6851%
2023---13---澳大利亚---大洋洲---1.73万亿 (1,728,057,316,695)---1.6276%
2023---14---韩国---亚洲---1.71万亿 (1,712,792,854,202)---1.6132%
2023---15---西班牙---欧洲---1.62万亿 (1,620,090,734,956)---1.5259%
2023---16---印尼---亚洲---1.37万亿 (1,371,171,152,331)---1.2915%
2023---17---荷兰---欧洲---1.15万亿 (1,154,361,305,398)---1.0873%
2023---18---土耳其---欧洲---1.12万亿 (1,118,252,964,260)---1.0532%
2023---19---沙特阿拉伯---亚洲---1.07万亿 (1,067,582,933,333)---1.0055%
2023---20---瑞士---欧洲---8849.40亿 (884,940,402,230)---0.8335%
2023---21---波兰---欧洲---8092.01亿 (809,200,697,797)---0.7622%
2023---22---阿根廷---美洲---6460.75亿 (646,075,277,525)---0.6085%
2023---23---比利时---欧洲---6447.83亿 (644,782,756,682)---0.6073%
2023---24---瑞典---欧洲---5849.60亿 (584,960,475,767)---0.5510%
2023---25---爱尔兰---欧洲---5513.95亿 (551,394,889,339)---0.5193%
2023---26---泰国---亚洲---5149.69亿 (514,968,699,239)---0.4850%
2023---27---阿联酋---亚洲---5141.30亿 (514,130,432,653)---0.4842%
2023---28---以色列---亚洲---5136.11亿 (513,611,100,815)---0.4838%
2023---29---奥地利---欧洲---5116.85亿 (511,685,203,845)---0.4819%
2023---30---新加坡---亚洲---5014.28亿 (501,427,500,080)---0.4723%
2023---31---挪威---欧洲---4853.11亿 (485,310,823,603)---0.4571%
2023---32---孟加拉---亚洲---4374.15亿 (437,415,331,040)---0.4120%
2023---33---菲律宾---亚洲---4371.46亿 (437,146,372,729)---0.4117%
2023---34---越南---亚洲---4297.17亿 (429,716,969,043)---0.4047%
2023---35---丹麦---欧洲---4070.92亿 (407,091,920,305)---0.3834%
2023---36---伊朗---亚洲---4046.26亿 (404,625,655,204)---0.3811%
2023---37---马来西亚---亚洲---3997.05亿 (399,705,169,318)---0.3765%
2023---38---埃及---非洲---3960.02亿 (396,002,496,996)---0.3730%
