2021---1---美国---美洲---23.68万亿 (23,681,171,000,000)---24.2019%
2021---2---中国---亚洲---17.82万亿 (17,820,459,508,852)---18.2123%
2021---3---日本---亚洲---5.03万亿 (5,034,620,784,584)---5.1453%
2021---4---德国---欧洲---4.35万亿 (4,348,297,440,387)---4.4439%
2021---5---印度---亚洲---3.17万亿 (3,167,270,623,260)---3.2369%
2021---6---英国---欧洲---3.14万亿 (3,143,323,050,707)---3.2124%
2021---7---法国---欧洲---2.97万亿 (2,966,433,692,008)---3.0317%
2021---8---意大利---欧洲---2.18万亿 (2,179,207,773,596)---2.2271%
2021---9---加拿大---美洲---2.01万亿 (2,007,472,181,464)---2.0516%
2021---10---俄罗斯---欧洲---1.84万亿 (1,843,392,293,734)---1.8839%
2021---11---韩国---亚洲---1.82万亿 (1,818,432,106,880)---1.8584%
2021---12---巴西---美洲---1.67万亿 (1,670,647,399,034)---1.7074%
2021---13---澳大利亚---大洋洲---1.56万亿 (1,556,735,770,437)---1.5910%
2021---14---西班牙---欧洲---1.46万亿 (1,461,244,901,852)---1.4934%
2021---15---墨西哥---美洲---1.32万亿 (1,316,569,466,932)---1.3455%
2021---16---印尼---亚洲---1.19万亿 (1,186,509,691,070)---1.2126%
2021---17---荷兰---欧洲---1.05万亿 (1,054,472,123,449)---1.0777%
2021---18---沙特阿拉伯---亚洲---8741.56亿 (874,156,000,000)---0.8934%
2021---19---土耳其---欧洲---8198.65亿 (819,865,223,976)---0.8379%
2021---20---瑞士---欧洲---8134.09亿 (813,408,787,222)---0.8313%
2021---21---波兰---欧洲---6891.70亿 (689,170,230,665)---0.7043%
2021---22---瑞典---欧洲---6371.87亿 (637,186,904,843)---0.6512%
2021---23---比利时---欧洲---5984.94亿 (598,494,036,474)---0.6117%
2021---24---古巴---美洲---5452.18亿 (545,217,900,000)---0.5572%
2021---25---爱尔兰---欧洲---5313.07亿 (531,306,516,907)---0.5430%
2021---26---泰国---亚洲---5062.56亿 (506,256,494,297)---0.5174%
2021---27---挪威---欧洲---5033.68亿 (503,367,986,030)---0.5144%
2021---28---以色列---亚洲---4897.08亿 (489,708,278,893)---0.5005%
2021---29---阿根廷---美洲---4865.64亿 (486,564,085,480)---0.4973%
2021---30---奥地利---欧洲---4804.67亿 (480,467,037,338)---0.4910%
2021---31---尼日利亚---非洲---4408.34亿 (440,833,635,873)---0.4505%
2021---32---新加坡---亚洲---4341.12亿 (434,111,559,282)---0.4437%
2021---33---埃及---非洲---4246.72亿 (424,671,765,455)---0.4340%
2021---34---南非---非洲---4208.87亿 (420,886,877,628)---0.4301%
2021---35---孟加拉---亚洲---4162.72亿 (416,271,647,911)---0.4254%
2021---36---阿联酋---亚洲---4151.79亿 (415,178,792,769)---0.4243%
2021---37---丹麦---欧洲---4083.78亿 (408,378,204,639)---0.4174%
2021---38---菲律宾---亚洲---3940.87亿 (394,087,359,848)---0.4028%
2021---39---伊朗---亚洲---3834.36亿 (383,436,202,446)---0.3919%
2021---40---马来西亚---亚洲---3737.85亿 (373,784,823,672)---0.3820%
2021---41---香港---亚洲---3689.54亿 (368,954,169,748)---0.3771%
2021---42---越南---亚洲---3664.75亿 (366,474,752,771)---0.3745%
2021---43---巴基斯坦---亚洲---3485.17亿 (348,516,647,445)---0.3562%
2021---44---哥伦比亚---美洲---3185.25亿 (318,524,633,225)---0.3255%
2021---45---智利---美洲---3155.15亿 (315,515,014,838)---0.3225%
2021---46---芬兰---欧洲---2942.23亿 (294,223,210,496)---0.3007%
2021---47---捷克---欧洲---2909.73亿 (290,972,714,482)---0.2974%
2021---48---罗马尼亚---欧洲---2865.78亿 (286,578,196,368)---0.2929%
2021---49---葡萄牙---欧洲---2560.56亿 (256,055,879,091)---0.2617%
2021---50---新西兰---大洋洲---2536.44亿 (253,644,079,784)---0.2592%
2021---51---秘鲁---美洲---2263.54亿 (226,354,278,280)---0.2313%
2021---52---希腊---欧洲---2183.04亿 (218,303,801,895)---0.2231%
