2005---1---美国---美洲---13.04万亿 (13,039,197,000,000)---27.2720%
2005---2---日本---亚洲---4.83万亿 (4,831,467,035,389)---10.1052%
2005---3---德国---欧洲---2.89万亿 (2,893,393,187,361)---6.0516%
2005---4---英国---欧洲---2.54万亿 (2,543,180,000,000)---5.3192%
2005---5---中国---亚洲---2.29万亿 (2,285,961,149,879)---4.7812%
2005---6---法国---欧洲---2.19万亿 (2,192,146,403,028)---4.5850%
2005---7---意大利---欧洲---1.86万亿 (1,864,982,261,286)---3.9007%
2005---8---加拿大---美洲---1.17万亿 (1,173,108,598,778)---2.4536%
2005---9---西班牙---欧洲---1.15万亿 (1,154,667,551,775)---2.4150%
2005---10---韩国---亚洲---9349.01亿 (934,901,071,332)---1.9554%
2005---11---墨西哥---美洲---9175.72亿 (917,571,853,529)---1.9191%
2005---12---巴西---美洲---8916.34亿 (891,633,839,853)---1.8649%
2005---13---印度---亚洲---8203.84亿 (820,383,763,511)---1.7159%
2005---14---俄罗斯---欧洲---7640.16亿 (764,015,973,481)---1.5980%
2005---15---澳大利亚---大洋洲---6956.93亿 (695,692,898,676)---1.4551%
2005---16---荷兰---欧洲---6881.34亿 (688,133,699,635)---1.4393%
2005---17---土耳其---欧洲---5063.15亿 (506,314,717,661)---1.0590%
2005---18---瑞士---欧洲---4182.85亿 (418,284,865,884)---0.8749%
2005---19---瑞典---欧洲---3916.90亿 (391,690,329,314)---0.8192%
2005---20---比利时---欧洲---3857.15亿 (385,714,762,230)---0.8067%
2005---21---沙特阿拉伯---亚洲---3284.60亿 (328,459,608,764)---0.6870%
2005---22---奥地利---欧洲---3139.52亿 (313,952,317,330)---0.6566%
2005---23---挪威---欧洲---3099.79亿 (309,978,579,743)---0.6483%
2005---24---波兰---欧洲---3070.00亿 (306,999,913,150)---0.6421%
2005---25---南非---非洲---2888.67亿 (288,867,217,196)---0.6042%
2005---26---印尼---亚洲---2858.69亿 (285,868,619,196)---0.5979%
2005---27---丹麦---欧洲---2651.50亿 (265,150,087,711)---0.5546%
2005---28---希腊---欧洲---2423.16亿 (242,315,668,619)---0.5068%
2005---29---伊朗---亚洲---2249.70亿 (224,970,371,328)---0.4705%
2005---30---爱尔兰---欧洲---2118.77亿 (211,876,989,655)---0.4431%
2005---31---芬兰---欧洲---2048.59亿 (204,859,368,790)---0.4285%
2005---32---阿根廷---美洲---1987.37亿 (198,737,095,012)---0.4157%
2005---33---葡萄牙---欧洲---1972.54亿 (197,253,876,704)---0.4126%
2005---34---泰国---亚洲---1893.18亿 (189,318,408,468)---0.3960%
2005---35---香港---亚洲---1815.69亿 (181,569,311,742)---0.3798%
2005---36---阿联酋---亚洲---1806.17亿 (180,617,467,964)---0.3778%
2005---37---尼日利亚---非洲---1756.71亿 (175,670,569,969)---0.3674%
2005---38---以色列---亚洲---1471.03亿 (147,103,301,914)---0.3077%
2005---39---哥伦比亚---美洲---1456.01亿 (145,600,529,605)---0.3045%
2005---40---委内瑞拉---美洲---1455.13亿 (145,513,489,651)---0.3043%
2005---41---巴基斯坦---亚洲---1452.09亿 (145,208,562,960)---0.3037%
2005---42---马来西亚---亚洲---1435.34亿 (143,534,405,818)---0.3002%
2005---43---捷克---欧洲---1372.64亿 (137,264,185,596)---0.2871%
2005---44---新加坡---亚洲---1278.08亿 (127,807,848,728)---0.2673%
2005---45---智利---美洲---1222.94亿 (122,294,145,162)---0.2558%
2005---46---新西兰---大洋洲---1147.20亿 (114,720,129,550)---0.2399%
