1964---1---美国---美洲---6841.45亿 (684,144,620,689)---37.3815%
1964---2---德国---欧洲---1233.30亿 (123,330,404,665)---6.7387%
1964---3---英国---欧洲---944.08亿 (94,407,558,351)---5.1584%
1964---4---法国---欧洲---930.79亿 (93,079,224,076)---5.0858%
1964---5---日本---亚洲---874.91亿 (87,490,590,817)---4.7805%
1964---6---意大利---欧洲---657.21亿 (65,720,771,779)---3.5910%
1964---7---中国---亚洲---597.08亿 (59,708,125,203)---3.2624%
1964---8---印度---亚洲---564.80亿 (56,480,289,940)---3.0861%
1964---9---加拿大---美洲---495.04亿 (49,503,663,836)---2.7049%
1964---10---阿根廷---美洲---256.05亿 (25,605,249,381)---1.3991%
1964---11---澳大利亚---大洋洲---238.01亿 (23,801,123,808)---1.3005%
1964---12---瑞典---欧洲---226.86亿 (22,685,750,575)---1.2395%
1964---13---西班牙---欧洲---219.67亿 (21,966,876,027)---1.2003%
1964---14---巴西---美洲---209.64亿 (20,963,733,694)---1.1455%
1964---15---荷兰---欧洲---202.32亿 (20,232,048,552)---1.1055%
1964---16---墨西哥---美洲---200.80亿 (20,080,000,000)---1.0972%
1964---17---比利时---欧洲---161.68亿 (16,168,044,450)---0.8834%
1964---18---瑞士---欧洲---158.33亿 (15,833,133,857)---0.8651%
1964---19---南非---非洲---119.56亿 (11,955,995,217)---0.6533%
1964---20---土耳其---欧洲---111.78亿 (11,177,777,777)---0.6108%
1964---21---丹麦---欧洲---96.77亿 (9,677,401,337)---0.5288%
1964---22---奥地利---欧洲---92.14亿 (9,213,648,655)---0.5034%
1964---23---委内瑞拉---美洲---81.92亿 (8,192,413,793)---0.4476%
1964---24---芬兰---欧洲---78.49亿 (7,848,987,792)---0.4289%
1964---25---新西兰---大洋洲---73.41亿 (7,340,766,740)---0.4011%
1964---26---挪威---欧洲---72.07亿 (7,206,522,121)---0.3938%
1964---27---希腊---欧洲---65.77亿 (6,576,906,345)---0.3594%
1964---28---哥伦比亚---美洲---59.73亿 (5,973,366,666)---0.3264%
1964---29---智利---美洲---59.64亿 (5,964,195,925)---0.3259%
1964---30---菲律宾---亚洲---59.54亿 (5,953,756,194)---0.3253%
1964---31---尼日利亚---非洲---55.53亿 (5,552,931,318)---0.3034%
1964---32---孟加拉---亚洲---53.86亿 (5,386,054,833)---0.2943%
