2019---1---美国---美洲---21.54万亿 (21,539,982,000,000)---24.4356%
2019---2---中国---亚洲---14.28万亿 (14,279,968,506,271)---16.1997%
2019---3---日本---亚洲---5.12万亿 (5,117,993,853,016)---5.8060%
2019---4---德国---欧洲---3.96万亿 (3,957,208,055,215)---4.4892%
2019---5---英国---欧洲---2.85万亿 (2,851,407,164,907)---3.2347%
2019---6---印度---亚洲---2.84万亿 (2,835,606,256,558)---3.2168%
2019---7---法国---欧洲---2.72万亿 (2,722,793,515,171)---3.0888%
2019---8---意大利---欧洲---2.02万亿 (2,019,606,796,583)---2.2911%
2019---9---巴西---美洲---1.87万亿 (1,873,288,205,186)---2.1251%
2019---10---加拿大---美洲---1.74万亿 (1,743,725,183,672)---1.9781%
2019---11---俄罗斯---欧洲---1.69万亿 (1,693,115,002,708)---1.9207%
2019---12---韩国---亚洲---1.65万亿 (1,651,422,932,447)---1.8734%
2019---13---西班牙---欧洲---1.40万亿 (1,403,496,387,686)---1.5922%
2019---14---澳大利亚---大洋洲---1.39万亿 (1,392,723,834,562)---1.5800%
2019---15---墨西哥---美洲---1.30万亿 (1,304,106,203,694)---1.4794%
2019---16---印尼---亚洲---1.12万亿 (1,119,099,871,385)---1.2695%
2019---17---荷兰---欧洲---9289.03亿 (928,903,005,576)---1.0538%
2019---18---沙特阿拉伯---亚洲---8385.65亿 (838,564,800,000)---0.9513%
2019---19---土耳其---欧洲---7610.06亿 (761,005,915,750)---0.8633%
2019---20---瑞士---欧洲---7213.69亿 (721,369,112,726)---0.8183%
2019---21---波兰---欧洲---6026.84亿 (602,683,770,144)---0.6837%
2019---22---泰国---亚洲---5439.77亿 (543,976,691,793)---0.6171%
2019---23---比利时---欧洲---5367.26亿 (536,726,344,405)---0.6089%
2019---24---瑞典---欧洲---5321.69亿 (532,169,294,165)---0.6037%
2019---25---尼日利亚---非洲---4745.17亿 (474,517,490,844)---0.5383%
2019---26---阿根廷---美洲---4477.55亿 (447,754,683,615)---0.5079%
2019---27---奥地利---欧洲---4429.84亿 (442,983,642,371)---0.5025%
2019---28---阿联酋---亚洲---4179.90亿 (417,989,721,734)---0.4742%
2019---29---挪威---欧洲---4087.43亿 (408,742,840,909)---0.4637%
