1965---1---美国---美洲---7419.05亿 (741,904,862,068)---37.2013%
1965---2---德国---欧洲---1347.75亿 (134,774,688,191)---6.7580%
1965---3---英国---欧洲---1018.25亿 (101,824,755,078)---5.1058%
1965---4---法国---欧洲---1005.23亿 (100,522,559,916)---5.0405%
1965---5---日本---亚洲---973.38亿 (97,338,107,605)---4.8808%
1965---6---意大利---欧洲---707.17亿 (70,717,012,186)---3.5460%
1965---7---中国---亚洲---704.36亿 (70,436,008,642)---3.5319%
1965---8---印度---亚洲---595.56亿 (59,556,105,229)---2.9863%
1965---9---加拿大---美洲---546.49亿 (54,649,410,478)---2.7403%
1965---10---阿根廷---美洲---283.45亿 (28,344,705,966)---1.4213%
1965---11---澳大利亚---大洋洲---259.77亿 (25,977,284,156)---1.3026%
1965---12---西班牙---欧洲---254.80亿 (25,479,619,606)---1.2776%
1965---13---瑞典---欧洲---249.64亿 (24,964,233,890)---1.2518%
1965---14---荷兰---欧洲---227.22亿 (22,721,869,808)---1.1393%
1965---15---巴西---美洲---224.66亿 (22,465,522,884)---1.1265%
1965---16---墨西哥---美洲---218.40亿 (21,840,000,000)---1.0951%
1965---17---比利时---欧洲---175.98亿 (17,597,783,297)---0.8824%
1965---18---瑞士---欧洲---167.80亿 (16,780,226,225)---0.8414%
1965---19---南非---非洲---130.69亿 (13,068,994,772)---0.6553%
1965---20---土耳其---欧洲---119.67亿 (11,966,666,666)---0.6000%
1965---21---丹麦---欧洲---108.71亿 (10,870,670,865)---0.5451%
1965---22---奥地利---欧洲---100.42亿 (10,041,659,445)---0.5035%
1965---23---芬兰---欧洲---86.80亿 (8,680,393,838)---0.4353%
1965---24---委内瑞拉---美洲---84.28亿 (8,427,777,777)---0.4226%
1965---25---挪威---欧洲---81.12亿 (8,111,945,661)---0.4068%
1965---26---希腊---欧洲---75.82亿 (7,582,209,670)---0.3802%
1965---27---菲律宾---亚洲---65.17亿 (6,517,349,771)---0.3268%
1965---28---伊朗---亚洲---61.97亿 (6,197,319,929)---0.3108%
1965---29---智利---美洲---61.09亿 (6,108,679,125)---0.3063%
1965---30---巴基斯坦---亚洲---59.29亿 (5,929,231,415)---0.2973%
1965---31---孟加拉---亚洲---59.07亿 (5,906,636,791)---0.2962%
1965---32---尼日利亚---非洲---58.75亿 (5,874,537,650)---0.2946%
1965---33---哥伦比亚---美洲---57.61亿 (5,760,761,904)---0.2889%
