2018---1---美国---美洲---20.66万亿 (20,656,516,000,000)---23.7746%
2018---2---中国---亚洲---13.89万亿 (13,894,907,857,880)---15.9923%
2018---3---日本---亚洲---5.04万亿 (5,040,880,939,324)---5.8018%
2018---4---德国---欧洲---4.05万亿 (4,052,008,447,223)---4.6637%
2018---5---英国---欧洲---2.87万亿 (2,871,340,347,581)---3.3048%
2018---6---法国---欧洲---2.78万亿 (2,781,576,320,884)---3.2015%
2018---7---印度---亚洲---2.70万亿 (2,702,929,641,648)---3.1109%
2018---8---意大利---欧洲---2.10万亿 (2,099,435,266,458)---2.4163%
2018---9---巴西---美洲---1.92万亿 (1,916,933,898,038)---2.2063%
2018---10---韩国---亚洲---1.73万亿 (1,725,373,496,825)---1.9858%
2018---11---加拿大---美洲---1.73万亿 (1,725,329,192,783)---1.9858%
2018---12---俄罗斯---欧洲---1.66万亿 (1,657,328,773,461)---1.9075%
2018---13---西班牙---欧洲---1.43万亿 (1,431,642,809,327)---1.6477%
2018---14---澳大利亚---大洋洲---1.43万亿 (1,427,809,041,019)---1.6433%
2018---15---墨西哥---美洲---1.26万亿 (1,256,300,182,879)---1.4459%
2018---16---印尼---亚洲---1.04万亿 (1,042,271,532,953)---1.1996%
2018---17---荷兰---欧洲---9297.34亿 (929,733,599,796)---1.0701%
2018---18---沙特阿拉伯---亚洲---8465.84亿 (846,583,733,333)---0.9744%
2018---19---土耳其---欧洲---7789.72亿 (778,972,108,040)---0.8966%
2018---20---瑞士---欧洲---7255.69亿 (725,568,717,468)---0.8351%
2018---21---波兰---欧洲---5946.17亿 (594,616,687,350)---0.6844%
2018---22---瑞典---欧洲---5513.12亿 (551,312,498,430)---0.6345%
2018---23---比利时---欧洲---5426.39亿 (542,638,913,427)---0.6245%
2018---24---阿根廷---美洲---5248.20亿 (524,819,892,360)---0.6040%
2018---25---泰国---亚洲---5067.54亿 (506,754,208,404)---0.5832%
2018---26---奥地利---欧洲---4525.82亿 (452,582,294,972)---0.5209%
2018---27---挪威---欧洲---4397.89亿 (439,788,625,883)---0.5062%
2018---28---阿联酋---亚洲---4270.49亿 (427,049,432,149)---0.4915%
2018---29---尼日利亚---非洲---4217.39亿 (421,739,251,509)---0.4854%
2018---30---南非---非洲---4052.61亿 (405,260,723,892)---0.4664%
2018---31---伊朗---亚洲---3988.80亿 (398,880,231,367)---0.4591%
2018---32---爱尔兰---欧洲---3954.61亿 (395,461,216,460)---0.4552%
2018---33---新加坡---亚洲---3768.93亿 (376,892,697,588)---0.4338%
2018---34---以色列---亚洲---3751.50亿 (375,149,611,117)---0.4318%
2018---35---香港---亚洲---3617.31亿 (361,731,070,995)---0.4163%
2018---36---马来西亚---亚洲---3587.89亿 (358,788,845,712)---0.4129%
2018---37---巴基斯坦---亚洲---3561.28亿 (356,128,166,704)---0.4099%
2018---38---丹麦---欧洲---3552.93亿 (355,293,374,912)---0.4089%
2018---39---菲律宾---亚洲---3468.42亿 (346,841,896,583)---0.3992%
2018---40---哥伦比亚---美洲---3341.98亿 (334,198,218,098)---0.3846%
2018---41---孟加拉---亚洲---3213.63亿 (321,362,752,441)---0.3699%
2018---42---智利---美洲---2958.58亿 (295,857,562,991)---0.3405%
2018---43---芬兰---欧洲---2738.69亿 (273,869,255,596)---0.3152%
2018---44---埃及---非洲---2625.89亿 (262,588,632,526)---0.3022%
2018---45---捷克---欧洲---2519.92亿 (251,992,360,762)---0.2900%
2018---46---越南---亚洲---2452.14亿 (245,213,686,369)---0.2822%
2018---47---罗马尼亚---欧洲---2434.69亿 (243,468,683,030)---0.2802%
2018---48---葡萄牙---欧洲---2420.93亿 (242,092,894,542)---0.2786%
2018---49---伊拉克---亚洲---2273.67亿 (227,367,469,034)---0.2617%
2018---50---秘鲁---美洲---2225.97亿 (222,597,009,739)---0.2562%
2018---51---希腊---欧洲---2132.99亿 (213,298,873,494)---0.2455%
2018---52---新西兰---大洋洲---2118.47亿 (211,846,555,690)---0.2438%
2018---53---阿尔及利亚---非洲---1945.54亿 (194,554,483,655)---0.2239%
2018---54---卡塔尔---亚洲---1833.35亿 (183,334,953,818)---0.2110%
2018---55---哈萨克斯坦---亚洲---1793.40亿 (179,339,977,690)---0.2064%
2018---56---匈牙利---欧洲---1605.66亿 (160,565,642,983)---0.1848%
2018---57---科威特---亚洲---1386.46亿 (138,646,316,321)---0.1596%
2018---58---乌克兰---欧洲---1308.91亿 (130,891,088,293)---0.1506%
2018---59---摩洛哥---非洲---1273.41亿 (127,341,147,581)---0.1466%
2018---60---厄瓜多尔---美洲---1074.79亿 (107,478,962,000)---0.1237%
2018---61---斯洛伐克---欧洲---1066.12亿 (106,611,673,364)---0.1227%
2018---62---波多黎各---美洲---1009.58亿 (100,958,100,000)---0.1162%
2018---63---古巴---美洲---1000.50亿 (100,050,036,096)---0.1152%
2018---64---斯里兰卡---亚洲---944.94亿 (94,493,871,200)---0.1088%
2018---65---肯尼亚---非洲---922.03亿 (92,202,979,985)---0.1061%
2018---66---阿曼---亚洲---915.06亿 (91,505,851,755)---0.1053%
2018---67---多米尼加---美洲---855.55亿 (85,555,390,139)---0.0985%
2018---68---埃塞俄比亚---非洲---842.69亿 (84,269,196,625)---0.0970%
2018---69---安哥拉---非洲---794.51亿 (79,450,688,259)---0.0914%
