2011---1---美国---美洲---15.60万亿 (15,599,732,000,000)---21.0577%
2011---2---中国---亚洲---7.55万亿 (7,551,545,703,440)---10.1937%
2011---3---日本---亚洲---6.23万亿 (6,233,147,172,341)---8.4140%
2011---4---德国---欧洲---3.82万亿 (3,824,828,563,521)---5.1630%
2011---5---法国---欧洲---2.87万亿 (2,870,408,553,990)---3.8747%
2011---6---英国---欧洲---2.66万亿 (2,663,805,834,828)---3.5958%
2011---7---巴西---美洲---2.62万亿 (2,616,156,223,977)---3.5315%
2011---8---意大利---欧洲---2.31万亿 (2,306,974,020,278)---3.1141%
2011---9---俄罗斯---欧洲---2.05万亿 (2,045,922,753,398)---2.7617%
2011---10---印度---亚洲---1.82万亿 (1,823,051,829,894)---2.4609%
2011---11---加拿大---美洲---1.79万亿 (1,793,326,630,174)---2.4208%
2011---12---西班牙---欧洲---1.49万亿 (1,487,568,659,241)---2.0080%
2011---13---澳大利亚---大洋洲---1.40万亿 (1,398,610,616,772)---1.8880%
2011---14---韩国---亚洲---1.25万亿 (1,253,289,537,500)---1.6918%
2011---15---墨西哥---美洲---1.23万亿 (1,229,013,703,416)---1.6590%
2011---16---荷兰---欧洲---9131.41亿 (913,140,741,332)---1.2326%
2011---17---印尼---亚洲---8929.69亿 (892,969,104,529)---1.2054%
2011---18---土耳其---欧洲---8387.85亿 (838,785,289,694)---1.1323%
2011---19---瑞士---欧洲---7158.88亿 (715,888,126,682)---0.9664%
2011---20---沙特阿拉伯---亚洲---6766.35亿 (676,634,666,666)---0.9134%
2011---21---伊朗---亚洲---6290.82亿 (629,082,257,472)---0.8492%
2011---22---瑞典---欧洲---5705.41亿 (570,541,353,128)---0.7702%
2011---23---阿根廷---美洲---5301.58亿 (530,158,122,010)---0.7156%
2011---24---波兰---欧洲---5278.49亿 (527,848,543,023)---0.7125%
2011---25---比利时---欧洲---5271.97亿 (527,196,649,048)---0.7117%
2011---26---挪威---欧洲---5013.61亿 (501,360,549,669)---0.6768%
2011---27---南非---非洲---4581.99亿 (458,199,494,830)---0.6185%
2011---28---奥地利---欧洲---4289.55亿 (428,954,737,064)---0.5790%
2011---29---尼日利亚---非洲---4144.67亿 (414,466,676,831)---0.5595%
2011---30---泰国---亚洲---3708.19亿 (370,818,739,623)---0.5006%
2011---31---阿联酋---亚洲---3608.33亿 (360,832,739,558)---0.4871%
2011---32---丹麦---欧洲---3443.16亿 (344,315,595,263)---0.4648%
2011---33---哥伦比亚---美洲---3349.66亿 (334,966,134,804)---0.4522%
2011---34---委内瑞拉---美洲---3164.82亿 (316,482,190,800)---0.4272%
2011---35---马来西亚---亚洲---2979.52亿 (297,951,668,674)---0.4022%
2011---36---希腊---欧洲---2832.28亿 (283,228,079,776)---0.3823%
2011---37---新加坡---亚洲---2793.56亿 (279,356,499,090)---0.3771%
2011---38---芬兰---欧洲---2751.27亿 (275,126,915,515)---0.3714%
2011---39---以色列---亚洲---2674.06亿 (267,406,179,630)---0.3610%
2011---40---智利---美洲---2513.83亿 (251,382,573,885)---0.3393%
2011---41---香港---亚洲---2485.14亿 (248,513,617,677)---0.3355%
2011---42---葡萄牙---欧洲---2454.27亿 (245,426,767,676)---0.3313%
2011---43---爱尔兰---欧洲---2413.37亿 (241,337,364,609)---0.3258%
2011---44---埃及---非洲---2359.90亿 (235,989,672,977)---0.3186%
2011---45---菲律宾---亚洲---2342.17亿 (234,216,730,295)---0.3162%
2011---46---捷克---欧洲---2314.29亿 (231,429,378,717)---0.3124%
2011---47---巴基斯坦---亚洲---2305.87亿 (230,586,581,059)---0.3113%
2011---48---阿尔及利亚---非洲---2183.32亿 (218,331,946,925)---0.2947%
2011---49---哈萨克斯坦---亚洲---1926.26亿 (192,626,464,617)---0.2600%
2011---50---罗马尼亚---欧洲---1926.24亿 (192,623,977,894)---0.2600%
2011---51---伊拉克---亚洲---1857.50亿 (185,749,664,444)---0.2507%
2011---52---秘鲁---美洲---1717.62亿 (171,761,737,046)---0.2319%
2011---53---乌克兰---欧洲---1693.34亿 (169,333,835,201)---0.2286%
2011---54---新西兰---大洋洲---1682.95亿 (168,295,307,149)---0.2272%
2011---55---卡塔尔---亚洲---1677.75亿 (167,775,268,626)---0.2265%
2011---56---科威特---亚洲---1540.39亿 (154,039,231,299)---0.2079%
2011---57---匈牙利---欧洲---1419.42亿 (141,942,264,554)---0.1916%
2011---58---越南---亚洲---1355.39亿 (135,539,438,559)---0.1830%
2011---59---孟加拉---亚洲---1286.07亿 (128,607,482,310)---0.1736%
2011---60---安哥拉---非洲---1117.90亿 (111,789,747,670)---0.1509%
2011---61---摩洛哥---非洲---1100.81亿 (110,080,631,332)---0.1486%
2011---62---波多黎各---美洲---1003.52亿 (100,351,700,000)---0.1355%
2011---63---斯洛伐克---欧洲---997.05亿 (99,705,104,723)---0.1346%
2011---64---厄瓜多尔---美洲---789.87亿 (78,986,648,000)---0.1066%
2011---65---阿曼---亚洲---774.98亿 (77,497,529,258)---0.1046%
2011---66---古巴---美洲---689.90亿 (68,990,000,000)---0.0931%
2011---67---斯里兰卡---亚洲---677.53亿 (67,753,284,043)---0.0915%
2011---68---叙利亚---亚洲---675.39亿 (67,539,428,159)---0.0912%
2011---69---阿塞拜疆---亚洲---659.53亿 (65,952,796,427)---0.0890%
